Code,Support Item Name,Registration Group Name,Support Category Number,Support Category Name,Unit,Quote,Start date,End Date,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,Remote,Very Remote,Non-Face-to-Face Support Provision,Provider Travel,Short Notice Cancellations.,NDIA Requested Reports,Irregular SIL Supports,Type,Detailed Item Description,Simplified Description
01_850_0106_1_1,Individualised Living Options - Exploration and Design,"Assistance In Coordinating Or Managing Life Stages, Transitions And Supports",1,Assistance with Daily Life (Includes SIL),H,No,20230701,99991231,$100.14,$100.14,$100.14,$100.14,$100.14,$100.14,$100.14,$100.14,$140.19,$150.21,Y,Y,Y,Y,N,Price Limited Supports,,
01_851_0115_1_1,Individualised Living Options - Support Model,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with Daily Life (Includes SIL),WK,Yes,20230701,99991231,,,,,,,,,,,,,,,,Quotable Supports,,
02_050_0108_1_1,Specialised Transport To School/Educational Facility/Employment/Community,Assistance With Travel/Transport Arrangements,2,Transport,D,Yes,20230701,99991231,,,,,,,,,,,,,,,,Quotable Supports,"Specialised transport services for a participant to a school, educational facility, employment, or the community. This support item is subject to quotation. It should only be used if it is a stated item in a plan.","This support item provides for specialised transport services for a participant to a school, educational facility, employment, or the community."
02_051_0108_1_1,Transport,Assistance With Travel/Transport Arrangements,2,Transport,YR,No,20230701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1,"This line item can be used to fund transportation services that are not linked to other supports. Payment can be made direct to the provider, or transport can be paid via reimbursements to the participant to fund their transportation expenses.",This support item allows a participant pays a provider to transport them to an activity that is not itself a support - or to a support that is delivered by another provider. This enables the participant to travel to and from appointments or their place of work.
03_040000111_0103_1_1,Disability-Related Health Consumables - High Cost,Assistive Products For Personal Care And Safety,3,Consumables,E,Yes,20230701,99991231,,,,,,,,,,,,,,,,Quotable Supports,"Disability-Related Health consumables that are over $1,500 and are not an assistive technology item, but health related.",High cost health-related consumables that the NDIS funds that is due to a person's disability
03_040000919_0103_1_1,Disability-Related Health Consumables - Low Cost,Assistive Products For Personal Care And Safety,3,Consumables,E,No,20230701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1,"Disability-Related Health consumables that are under $1,500.",Low cost health-related consumables that the NDIS funds that is due to a person's disability.
03_050903053_0103_1_1,Incontinence Alarms,Assistive Products For Personal Care And Safety,3,Consumables,E,No,20230701,99991231,,,,,,,,,,,N,N,N,N,N,,,
03_060000911_0135_1_1,Low Cost AT - Prosthetics And Orthotics,Customised Prosthetics (includes Orthotics),3,Consumables,E,No,20230701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1,,
03_089_0121_1_1,Auslan Or Signed English Training,Interpreting And Translation,3,Consumables,H,No,20230701,99991231,,,,,,,,,,,,,,,,,,
03_090_0121_1_1,Interpreting And Translating,Interpreting And Translation,3,Consumables,H,No,20230701,99991231,,,,,,,,,,,,,,,,,,
03_090000911_0103_1_1,Low Cost AT - Personal Care And Safety,Assistive Products For Personal Care And Safety,3,Consumables,E,No,20230701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1,"Personal Care and Safety related assistive technology that is under $1,500. A letter generated by an Allied Health Professional may be required to utilise this line item code.","Low risk, low cost assistive technology"
03_091_0121_1_1,Telephone Or Video Interpreting,Interpreting And Translation,3,Consumables,H,No,20230701,99991231,,,,,,,,,,,,,,,,,,
03_092403054_0103_1_1,Continence Package A - Child - Annual Amount,Assistive Products For Personal Care And Safety,3,Consumables,YR,No,20230701,99991231,,,,,,,,,,,N,N,N,N,N,,,
03_092403055_0103_1_1,Continence Package A - Adult - Annual Amount,Assistive Products For Personal Care And Safety,3,Consumables,YR,No,20230701,99991231,,,,,,,,,,,N,N,N,N,N,,,
03_092406057_0103_1_1,Continence Package B - Intermittent Mild - Annual Amount,Assistive Products For Personal Care And Safety,3,Consumables,YR,No,20230701,99991231,,,,,,,,,,,N,N,N,N,N,,,
03_092406058_0103_1_1,Continence Package C - Intermittent Moderate - Annual Amount,Assistive Products For Personal Care And Safety,3,Consumables,YR,No,20230701,99991231,,,,,,,,,,,N,N,N,N,N,,,
03_092406059_0103_1_1,Continence Package D - Intermittent Higher Needs - Annual Amount,Assistive Products For Personal Care And Safety,3,Consumables,YR,No,20230701,99991231,,,,,,,,,,,N,N,N,N,N,,,
03_092406061_0103_1_1,Adult Intermittent Catheters Standard 3/Day - Annual Amount,Assistive Products For Personal Care And Safety,3,Consumables,YR,No,20230701,99991231,,,,,,,,,,,N,N,N,N,N,,,
03_092406062_0103_1_1,Adult Intermittent Catheters Standard 4/Day - Annual Amount,Assistive Products For Personal Care And Safety,3,Consumables,YR,No,20230701,99991231,,,,,,,,,,,N,N,N,N,N,,,
03_092406063_0103_1_1,Adult Intermittent Catheters Standard 6/Day - Annual Amount,Assistive Products For Personal Care And Safety,3,Consumables,YR,No,20230701,99991231,,,,,,,,,,,N,N,N,N,N,,,
03_092488056_0103_1_1,Continence Products Urinary - Other For Child,Assistive Products For Personal Care And Safety,3,Consumables,E,No,20230701,99991231,,,,,,,,,,,N,N,N,N,N,,,
03_092489060_0103_1_1,Continence Products Urinary - Other For Adult,Assistive Products For Personal Care And Safety,3,Consumables,E,No,20230701,99991231,,,,,,,,,,,N,N,N,N,N,,,
03_092718064_0103_1_1,Continence Package E - External,Assistive Products For Personal Care And Safety,3,Consumables,YR,No,20230701,99991231,,,,,,,,,,,N,N,N,N,N,,,
03_093012065_0103_1_1,Child Nappy Single-Use 3/Day - Annual Supply,Assistive Products For Personal Care And Safety,3,Consumables,YR,No,20230701,99991231,,,,,,,,,,,N,N,N,N,N,,,
03_093012066_0103_1_1,Child Nappy Single-Use 4/Day - Annual Supply,Assistive Products For Personal Care And Safety,3,Consumables,YR,No,20230701,99991231,,,,,,,,,,,N,N,N,N,N,,,
03_093012067_0103_1_1,Child Nappy Single-Use 6/Day - Annual Supply,Assistive Products For Personal Care And Safety,3,Consumables,YR,No,20230701,99991231,,,,,,,,,,,N,N,N,N,N,,,
03_093012068_0103_1_1,Child Nappy Single-Use 12/Day - Annual Supply,Assistive Products For Personal Care And Safety,3,Consumables,YR,No,20230701,99991231,,,,,,,,,,,N,N,N,N,N,,,
03_093015069_0103_1_1,Washable Incontinence Products For Children,Assistive Products For Personal Care And Safety,3,Consumables,E,No,20230701,99991231,,,,,,,,,,,N,N,N,N,N,,,
03_093018070_0103_1_1,Single-Use Inserts/Pads - Adult 3/Day - Annual Supply,Assistive Products For Personal Care And Safety,3,Consumables,YR,No,20230701,99991231,,,,,,,,,,,N,N,N,N,N,,,
03_093018071_0103_1_1,Single-Use Inserts/Pads - Adult 4/Day - Annual Supply,Assistive Products For Personal Care And Safety,3,Consumables,YR,No,20230701,99991231,,,,,,,,,,,N,N,N,N,N,,,
03_093018072_0103_1_1,Single-Use Inserts/Pads - Adult 6/Day - Annual Supply,Assistive Products For Personal Care And Safety,3,Consumables,YR,No,20230701,99991231,,,,,,,,,,,N,N,N,N,N,,,
03_093018073_0103_1_1,Single-Use Inserts/Pads - Adult 12/Day - Annual Supply,Assistive Products For Personal Care And Safety,3,Consumables,YR,No,20230701,99991231,,,,,,,,,,,N,N,N,N,N,,,
03_093021074_0103_1_1,Adult Absorbent Pull Up Or Brief 3/Day - Annual Supply,Assistive Products For Personal Care And Safety,3,Consumables,YR,No,20230701,99991231,,,,,,,,,,,N,N,N,N,N,,,
03_093021075_0103_1_1,Adult Absorbent Pull Up Or Brief 4/Day - Annual Supply,Assistive Products For Personal Care And Safety,3,Consumables,YR,No,20230701,99991231,,,,,,,,,,,N,N,N,N,N,,,
03_093021076_0103_1_1,Adult Absorbent Pull Up Or Brief 6/Day - Annual Supply,Assistive Products For Personal Care And Safety,3,Consumables,YR,No,20230701,99991231,,,,,,,,,,,N,N,N,N,N,,,
03_093021077_0103_1_1,Adult Absorbent Pull Up Or Brief 12/Day - Annual Supply,Assistive Products For Personal Care And Safety,3,Consumables,YR,No,20230701,99991231,,,,,,,,,,,N,N,N,N,N,,,
03_093036132_0103_1_1,Washable Incontinence Pants For Adults,Assistive Products For Personal Care And Safety,3,Consumables,E,No,20230701,99991231,,,,,,,,,,,N,N,N,N,N,,,
03_093045133_0103_1_1,Non-Body-Worn Washable Products For Absorbing Urine And Faeces,Assistive Products For Personal Care And Safety,3,Consumables,E,No,20230701,99991231,,,,,,,,,,,N,N,N,N,N,,,
03_120000911_0105_1_1,Low Cost AT - Personal Mobility,Personal Mobility Equipment,3,Consumables,E,No,20230701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1,,
03_150930078_0103_1_1,HEN - pump plus accessory - syringe feed,Assistive Products For Personal Care And Safety,3,Consumables,YR,No,20230701,99991231,,,,,,,,,,,N,N,N,N,N,,,
03_150930079_0103_1_1,HEN - pump plus accessory - non-syringe feed,Assistive Products For Personal Care And Safety,3,Consumables,YR,No,20230701,99991231,,,,,,,,,,,N,N,N,N,N,,,
03_150930080_0103_1_1,HEN - bolus syringes,Assistive Products For Personal Care And Safety,3,Consumables,YR,No,20230701,99991231,,,,,,,,,,,N,N,N,N,N,,,
03_150930081_0103_1_1,HEN - gastrostomy devices,Assistive Products For Personal Care And Safety,3,Consumables,YR,No,20230701,99991231,,,,,,,,,,,N,N,N,N,N,,,
03_150930082_0103_1_1,Additional Extension Sets For Bolus Feeding - 10/Annual,Assistive Products For Personal Care And Safety,3,Consumables,YR,No,20230701,99991231,,,,,,,,,,,N,N,N,N,N,,,
03_150930083_0103_1_1,Additional Extension Sets For Pump Feeding - 10/Annual,Assistive Products For Personal Care And Safety,3,Consumables,YR,No,20230701,99991231,,,,,,,,,,,N,N,N,N,N,,,
03_150930084_0103_1_1,HEN - giving sets,Assistive Products For Personal Care And Safety,3,Consumables,YR,No,20230701,99991231,,,,,,,,,,,N,N,N,N,N,,,
03_150930085_0103_1_1,HEN - containers,Assistive Products For Personal Care And Safety,3,Consumables,YR,No,20230701,99991231,,,,,,,,,,,N,N,N,N,N,,,
03_150930086_0103_1_1,Additional Bolus Syringes - 100/Annual,Assistive Products For Personal Care And Safety,3,Consumables,YR,No,20230701,99991231,,,,,,,,,,,N,N,N,N,N,,,
03_150930087_0103_1_1,HEN - water flush syringes,Assistive Products For Personal Care And Safety,3,Consumables,YR,No,20230701,99991231,,,,,,,,,,,N,N,N,N,N,,,
03_150930088_0103_1_1,HEN - Other equipment,Assistive Products For Personal Care And Safety,3,Consumables,E,No,20230701,99991231,,,,,,,,,,,N,N,N,N,N,,,
03_220300911_0113_1_1,Low Cost AT - Vision Related AT,Vision Equipment,3,Consumables,E,No,20230701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1,,
03_220600911_0122_1_1,Low Cost AT - Hearing Related AT,Hearing Equipment,3,Consumables,E,No,20230701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1,,
03_222100911_0124_1_1,Low Cost AT - Communication Or Cognitive Support,Communication And Information Equipment,3,Consumables,E,No,20230701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1,"Communication or Cognitive Support assistive technology that is under $1,500. A letter generated by an Allied Health Professional may be required to utilise this line item code.",The assistive technology identified below are to assist participants with alternate communication or to access written or spoken communication through electronic or other means.
03_501509092_0103_1_1,Repairs and Maintenance - HEN AT,Assistive Products For Personal Care And Safety,3,Consumables,E,No,20230701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1,,
03_710400002_0103_1_1,Disability-Related Health Equipment and Consumables - Set Up/Training,Assistive Products For Personal Care And Safety,3,Consumables,E,No,20230701,99991231,,,,,,,,,,,N,N,N,N,N,,"This line item can fund the training of parents, participants, or carers to use disability-related health equipment and consumables.",Reimbursement of cost of set up and/or training of disability-related health support equipment and consumables for a participants disability specific needs
03_710930080_0103_1_1,Delivery - Personal care Safety and Disability-related HealthConsumables,Assistive Products For Personal Care And Safety,3,Consumables,E,No,20230701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1,,
03_900100155_0130_1_1,Assistance Dog (Including Guide Dog) Ongoing Costs,Assistance Animals,3,Consumables,MON,No,20230701,99991231,,,,,,,,,,,N,N,N,N,N,,"Funding to cover the ongoing expenses associated with an assistance dog that complies with NDIS animal requirements. This line item code can cover services and supports such as pet insurance, dog food, grooming, vet costs.","Extra ongoing costs (above those of a companion animal) for medication, annual vet checks, food, etc. for a dog that meets the NDIA policy"
04_049_0104_1_1,Establishment Fee For Personal Care/Participation,High Intensity Daily Personal Activities,4,"Assistance with Social, Economic and Community Participation",E,No,20230701,99991231,$654.70,$654.70,$654.70,$654.70,$654.70,$654.70,$654.70,$654.70,$916.58,$982.05,N,N,N,N,N,Price Limited Supports,,
04_049_0125_1_1,Establishment Fee For Personal Care/Participation,"Participation In Community, Social And Civic Activities",4,"Assistance with Social, Economic and Community Participation",E,No,20230701,99991231,$654.70,$654.70,$654.70,$654.70,$654.70,$654.70,$654.70,$654.70,$916.58,$982.05,N,N,N,N,N,Price Limited Supports,,
04_049_0133_5_1,Establishment Fee For Personal Care/Participation,Specialised Supported Employment,4,"Assistance with Social, Economic and Community Participation",E,No,20230701,99991231,$654.70,$654.70,$654.70,$654.70,$654.70,$654.70,$654.70,$654.70,$916.58,$982.05,N,N,N,N,N,Price Limited Supports,,
04_049_0136_1_1,Establishment Fee For Personal Care/Participation,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",E,No,20230701,99991231,$654.70,$654.70,$654.70,$654.70,$654.70,$654.70,$654.70,$654.70,$916.58,$982.05,N,N,N,N,N,Price Limited Supports,,
04_102_0125_6_1,Access Community Social and Rec Activ - Standard - Public Holiday,"Participation In Community, Social And Civic Activities",4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$145.44,$145.44,$145.44,$145.44,$145.44,$145.44,$145.44,$145.44,$203.62,$218.16,Y,Y,Y,N,N,Price Limited Supports,"Delivery of supports to assist a participant engage in community, social and/or recreational activities. This line item would be claimed on Public Holidays.","Supporting a participant to engage in community, social and/or recreational activities."
04_102_0125_6_1_T,Access Community Social and Rec Activ - Standard - Public Holiday - TTP,"Participation In Community, Social And Civic Activities",4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$147.62,$147.62,$147.62,$147.62,$147.62,$147.62,$147.62,$147.62,$206.67,$221.43,Y,Y,Y,N,N,Price Limited Supports,"Delivery of supports to assist a participant engage in community, social and/or recreational activities. This line item would be claimed on Public Holidays, and by a TTP registered provider.","Supporting a participant to engage in community, social and/or recreational activities."
04_102_0136_6_1,Group Activities - Standard - Weekday Daytime,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$65.47,$65.47,$65.47,$65.47,$65.47,$65.47,$65.47,$65.47,$91.66,$98.21,Y,Y,Y,N,N,Price Limited Supports,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a group or community based arrangement. This line item would be claimed between the hours 6:00am-8:00pm Monday to Friday.","These support items enable a participant who requires Standard Supports, to engage in community, social and recreational activities in a group setting, either in the community or in a centre, in circumstances where a more skilled or experienced support worker is required. This service is delivered Monday to Friday between 6am and 8pm by an approved TTP provider."
04_102_0136_6_1_T,Group Activities - Standard - Weekday Daytime - TTP,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$66.45,$66.45,$66.45,$66.45,$66.45,$66.45,$66.45,$66.45,$93.03,$99.68,Y,Y,Y,N,N,Price Limited Supports,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a group or community based arrangement. This line item would be claimed between the hours 6:00am-8:00pm Monday to Friday by an approved TTP provider.","These support items enable a participant who requires Standard Supports, to engage in community, social and recreational activities in a group setting, either in the community or in a centre, in circumstances where a more skilled or experienced support worker is required. This service is delivered Monday to Friday between 6am and 8pm by an approved TTP provider."
04_103_0125_6_1,Access Community Social and Rec Activ - Standard - Weekday Evening,"Participation In Community, Social And Civic Activities",4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$72.13,$72.13,$72.13,$72.13,$72.13,$72.13,$72.13,$72.13,$100.98,$108.20,Y,Y,Y,N,N,Price Limited Supports,"Delivery of supports to assist a participant engage in community, social and/or recreational activities. This line item would be claimed between the hours 8:00pm-12:00am.","Supporting a participant to engage in community, social and/or recreational activities."
04_103_0125_6_1_T,Access Community Social and Rec Activ - Standard - Weekday Evening - TTP,"Participation In Community, Social And Civic Activities",4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$73.21,$73.21,$73.21,$73.21,$73.21,$73.21,$73.21,$73.21,$102.49,$109.82,Y,Y,Y,N,N,Price Limited Supports,"Delivery of supports to assist a participant engage in community, social and/or recreational activities. This line item would be claimed between the hours 8:00pm-12:00am, and by a TTP registered provider.","Supporting a participant to engage in community, social and/or recreational activities."
04_103_0136_6_1,Group Activities - Standard - Weekday Evening,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$72.13,$72.13,$72.13,$72.13,$72.13,$72.13,$72.13,$72.13,$100.98,$108.20,Y,Y,Y,N,N,Price Limited Supports,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a group or community based arrangement. This line item would be claimed between the hours 8.00pm - 12.00am Monday to Friday.","These support items enable a participant who requires Standard Supports, to engage in community, social and recreational activities in a group setting, either in the community or in a centre, in circumstances where a more skilled or experienced support worker is required. This service is delivered Monday to Friday between 8pm and 12am."
04_103_0136_6_1_T,Group Activities - Standard - Weekday Evening - TTP,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$73.21,$73.21,$73.21,$73.21,$73.21,$73.21,$73.21,$73.21,$102.49,$109.82,Y,Y,Y,N,N,Price Limited Supports,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a group or community based arrangement. This line item would be claimed between the hours 8:00pm - 12:00am Monday to Friday by an approved TTP provider .","These support items enable a participant who requires Standard Supports, to engage in community, social and recreational activities in a group setting, either in the community or in a centre, in circumstances where a more skilled or experienced support worker is required. This service is delivered Monday to Friday between the hours of 8pm and 12am by an approved TTP provider."
04_104_0125_6_1,Access Community Social and Rec Activ - Standard - Weekday Daytime,"Participation In Community, Social And Civic Activities",4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$65.47,$65.47,$65.47,$65.47,$65.47,$65.47,$65.47,$65.47,$91.66,$98.21,Y,Y,Y,N,N,Price Limited Supports,"Delivery of supports to assist a participant engage in community, social and/or recreational activities. This line item would be claimed on a weekday between the hours 6:00am-8:00pm.","Supporting a participant to engage in community, social and/or recreational activities."
04_104_0125_6_1_T,Access Community Social and Rec Activ - Standard - Weekday Daytime - TTP,"Participation In Community, Social And Civic Activities",4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$66.45,$66.45,$66.45,$66.45,$66.45,$66.45,$66.45,$66.45,$93.03,$99.68,Y,Y,Y,N,N,Price Limited Supports,"Delivery of supports to assist a participant engage in community, social and/or recreational activities. This line item would be claimed on a weekday between the hours 6:00am-8:00pm, and by a TTP registered provider.","Supporting a participant to engage in community, social and/or recreational activities."
04_104_0136_6_1,Group Activities - Standard - Saturday,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$92.12,$92.12,$92.12,$92.12,$92.12,$92.12,$92.12,$92.12,$128.97,$138.18,Y,Y,Y,N,N,Price Limited Supports,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a group or community based arrangement. This line item would be claimed on a Saturday.","These support items enable a participant who requires Standard Supports, to engage in community, social and recreational activities in a group setting, either in the community or in a centre, in circumstances where a more skilled or experienced support worker is required. This service is delivered on a Saturday."
04_104_0136_6_1_T,Group Activities - Standard - Saturday - TTP,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$93.50,$93.50,$93.50,$93.50,$93.50,$93.50,$93.50,$93.50,$130.90,$140.25,Y,Y,Y,N,N,Price Limited Supports,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a group or community based arrangement. This line item would be claimed on a Saturday by an approved TTP povider.","These support items enable a participant who requires Standard Supports, to engage in community, social and recreational activities in a group setting, either in the community or in a centre, in circumstances where a more skilled or experienced support worker is required. This service is delivered on a Saturday by an approved TTP provider."
04_105_0125_6_1,Access Community Social and Rec Activ - Standard - Saturday,"Participation In Community, Social And Civic Activities",4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$92.12,$92.12,$92.12,$92.12,$92.12,$92.12,$92.12,$92.12,$128.97,$138.18,Y,Y,Y,N,N,Price Limited Supports,"Delivery of supports to assist a participant engage in community, social and/or recreational activities. This line item would be claimed on Saturdays.","Supporting a participant to engage in community, social and/or recreational activities."
04_105_0125_6_1_T,Access Community Social and Rec Activ - Standard - Saturday - TTP,"Participation In Community, Social And Civic Activities",4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$93.50,$93.50,$93.50,$93.50,$93.50,$93.50,$93.50,$93.50,$130.90,$140.25,Y,Y,Y,N,N,Price Limited Supports,"Delivery of supports to assist a participant engage in community, social and/or recreational activities. This line item would be claimed on Saturdays, and by a TTP registered provider.","Supporting a participant to engage in community, social and/or recreational activities."
04_105_0136_6_1,Group Activities - Standard - Sunday,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$118.78,$118.78,$118.78,$118.78,$118.78,$118.78,$118.78,$118.78,$166.29,$178.17,Y,Y,Y,N,N,Price Limited Supports,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a group or community based arrangement. This line item would be claimed on a Sunday.","These support items enable a participant who requires Standard Supports, to engage in community, social and recreational activities in a group setting, either in the community or in a centre, in circumstances where a more skilled or experienced support worker is required. This service is delivered on a Sunday."
04_105_0136_6_1_T,Group Activities - Standard - Sunday - TTP,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$120.56,$120.56,$120.56,$120.56,$120.56,$120.56,$120.56,$120.56,$168.78,$180.84,Y,Y,Y,N,N,Price Limited Supports,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a group or community based arrangement. This line item would be claimed on a sunday by an approved TTP provider.","These support items enable a participant who requires Standard Supports, to engage in community, social and recreational activities in a group setting, either in the community or in a centre, in circumstances where a more skilled or experienced support worker is required. This service is delivered on a Sunday by an approved TTP provider."
04_106_0125_6_1,Access Community Social and Rec Activ - Standard - Sunday,"Participation In Community, Social And Civic Activities",4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$118.78,$118.78,$118.78,$118.78,$118.78,$118.78,$118.78,$118.78,$166.29,$178.17,Y,Y,Y,N,N,Price Limited Supports,"Delivery of supports to assist a participant engage in community, social and/or recreational activities. This line item would be claimed on Sundays.","Supporting a participant to engage in community, social and/or recreational activities."
04_106_0125_6_1_T,Access Community Social and Rec Activ - Standard - Sunday - TTP,"Participation In Community, Social And Civic Activities",4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$120.56,$120.56,$120.56,$120.56,$120.56,$120.56,$120.56,$120.56,$168.78,$180.84,Y,Y,Y,N,N,Price Limited Supports,"Delivery of supports to assist a participant engage in community, social and/or recreational activities. This line item would be claimed on Sundays, and by a TTP registered provider.","Supporting a participant to engage in community, social and/or recreational activities."
04_106_0136_6_1,Group Activities - Standard - Public Holiday,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$145.44,$145.44,$145.44,$145.44,$145.44,$145.44,$145.44,$145.44,$203.62,$218.16,Y,Y,Y,N,N,Price Limited Supports,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a group or community based arrangement. This line item would be claimed on a Public Holiday.","These support items enable a participant who requires Standard Supports, to engage in community, social and recreational activities in a group setting, either in the community or in a centre, in circumstances where a more skilled or experienced support worker is required. This service is delivered on a Public Holiday."
04_106_0136_6_1_T,Group Activities - Standard - Public Holiday - TTP,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$147.62,$147.62,$147.62,$147.62,$147.62,$147.62,$147.62,$147.62,$206.67,$221.43,Y,Y,Y,N,N,Price Limited Supports,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a group or community based arrangement. This line item would be claimed on a Public Holiday by an approved TTP provider.","These support items enable a participant who requires Standard Supports, to engage in community, social and recreational activities in a group setting, either in the community or in a centre, in circumstances where a more skilled or experienced support worker is required. This service is delivered on a Public Holiday by an approved TTP provider."
04_111_0136_6_1,Group Activities In The Community - 1:2 - Standard - Weekday Daytime,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$36.66,$36.66,$36.66,$36.66,$36.66,$36.66,$36.66,$36.66,$51.32,$54.99,N,Y,Y,N,N,Price Limited Supports,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a group or community based arrangement. This line item would be claimed on a weekday between the hours 6:00am-8:00pm, with a ratio of one support worker per two participants.","These support items assist participants to access community, social and recreational activities provided in a group setting in the community."
04_111_0136_6_1_T,Group Activities In The Community - 1:2 - Standard - Weekday Daytime-TTP,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$37.21,$37.21,$37.21,$37.21,$37.21,$37.21,$37.21,$37.21,$52.09,$55.82,N,Y,Y,N,N,Price Limited Supports,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a group or community based arrangement. This line item would be claimed on a weekday between the hours 6:00am-8:00pm, with a ratio of one support worker per two participants. This line item can only be claimed by a TTP registered provider.","These support items assist participants to access community, social and recreational activities provided in a group setting in the community."
04_112_0136_6_1,Group Activities In The Community - 1:2 - Standard - Saturday,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$51.59,$51.59,$51.59,$51.59,$51.59,$51.59,$51.59,$51.59,$72.23,$77.39,N,Y,Y,N,N,Price Limited Supports,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a group or community based arrangement. This line item would be claimed on Saturdays, with a ratio of one support worker per two participants.","These support items assist participants to access community, social and recreational activities provided in a group setting in the community."
04_112_0136_6_1_T,Group Activities In The Community - 1:2 - Standard - Saturday - TTP,Group And Centre Based Activities,4,"Assistance with Social, Economic and Community Participation",H,No,20230701,99991231,$52.36,$52.36,$52.36,$52.36,$52.36,$52.36,$52.36,$52.36,$73.30,$78.54,N,Y,Y,N,N,Price Limited Supports,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a group or community based arrangement. This line item would be claimed on Saturdays, with a ratio of one support worker per two participants. This line item can only be claimed by a TTP registered provider.","These support items assist participants to access community, social and recreational activities provided in a group setting in the community."
