Code,Plan Partners Initial Description,Updated Description
01_626_0114_1_1,"Funding to cover the cost of health supports from a provider who is qualified as a Nurse Practitioner (A Nurse Practitioner (NP) is a Registered Nurse (RN) experienced in their clinical specialty, educated at Masters Level, and who is endorsed by the Nurses and Midwives Board of Australia (NMBA) to provide patient care in an advanced and extended clinical role.) These services are delivered on a Saturday.",Provision of care to respond to the disabilityrelated health needs of a participant where that care is not the usual responsibility of the health system
01_627_0114_1_1,"Funding to cover the cost of health supports from a provider who is qualified as a Nurse Practitioner (A Nurse Practitioner (NP) is a Registered Nurse (RN) experienced in their clinical specialty, educated at Masters Level, and who is endorsed by the Nurses and Midwives Board of Australia (NMBA) to provide patient care in an advanced and extended clinical role.) These services are delvered on a Sunday.",Provision of care to respond to the disabilityrelated health needs of a participant where that care is not the usual responsibility of the health system.
01_628_0114_1_1,"Funding to cover the cost of health supports from a provider who is qualified as a Nurse Practitioner (A Nurse Practitioner (NP) is a Registered Nurse (RN) experienced in their clinical specialty, educated at Masters Level, and who is endorsed by the Nurses and Midwives Board of Australia (NMBA) to provide patient care in an advanced and extended clinical role.) These services are delvered fduring a Public Holiday.",Provision of care to respond to the disabilityrelated health needs of a participant where that care is not the usual responsibility of the health system.
01_629_0114_1_1,"Funding to cover the cost of health supports from a provider who is qualified as a Nurse Practitioner (A Nurse Practitioner (NP) is a Registered Nurse (RN) experienced in their clinical specialty, educated at Masters Level, and who is endorsed by the Nurses and Midwives Board of Australia (NMBA) to provide patient care in an advanced and extended clinical role.) This service must involve the provider spending these hours awake and providing active care through the night.",Provision of care to respond to the disabilityrelated health needs of a participant where that care is not the usual responsibility of the health system.
01_650_0118_1_3,New description coming soon,New description coming soon
01_653_0118_1_3,New description coming soon,New description coming soon
01_700_0118_1_3,This is funding for Psychologist for children under 5 years of age,"Provision of care to respond to the disabilityrelated health needs of a participant where that care is not the usual responsibility of the health system. Capacity building supports, including key worker, to assist a child with developmental delay and/or disability and their family/carers in home, community and early childhood education settings, to work towards increased functional independence and social participation. To be delivered by a Psychologist"
01_701_0128_1_3,This is funding  for Psychological therapy including all assessment and recommendation costs.,"Provision of care to respond to the disabilityrelated health needs of a participant where that care is not the usual responsibility of the health system. Assessment, Recommendation, Therapy And/Or Training (incl. AT). To be delivered by a Psychologist."
01_720_0118_1_3,This is funding for Physiotherapy for children under 5 years of age,"Provision of care to respond to the disabilityrelated health needs of a participant where that care is not the usual responsibility of the health system. Capacity building supports, including key worker, to assist a child with developmental delay and/or disability and their family/carers in"
01_721_0128_1_3,This is funding  for Physiotherapy including all assessment and recommendation costs,"Provision of care to respond to the disabilityrelated health needs of a participant where that care is not the usual responsibility of the health system. Assessment, Recommendation, Therapy And/Or Training (incl. AT). To be delivered by a Physiotherapist."
01_740_0118_1_3,"This is funding for Therapies (excluding Physiotherapy and Psychology) for children under 5 years of age for example: OT, occupational therapy,  Speech therapy consult, consultation, therapies, podiatry","Provision of care to respond to the disabilityrelated health needs of a participant where that care is not the usual responsibility of the health system. Capacity building supports, including key worker, to assist a child with developmental delay and/or disability and their family/carers in home, community and early childhood education settings, to work towards increased functional independence and social participation. To be delivered by a suitably qualified allied health professional or early childhood educator"
01_741_0128_1_3,"This is to fund allied health therapy for example: OT, occupational therapy,  Speech, speech therapy consult, consultation, therapies, pediatry, chiropractor. This is a duplicate line item code to 15_056_0128_1_3.","Provision of care to respond to the disabilityrelated health needs of a participant where that care is not the usual responsibility of the health system. Assessment, Recommendation, Therapy And/Or Training (incl. AT)"
01_760_0118_1_3,New description coming soon,New description coming soon
01_760_0128_3_3,This funding is to cover the cost of a dietician in helping a participant to live a healthier life. This funding will cover the cost of the consultation and also the setting out of the plan itself.,Provision of advice to a participant on managing diet for health and well-being due to the impact of their disability
01_801_0115_1_1,"Support the participant with everyday domestic needs/tasks in a Supported Independent Living arrangement with the intention of assisting the participant to build these skills themselves. This line item funds the personal supports provided in Supported Independent Living arrangements but does not cover the cost of accommodation, food, and other everyday costs themselves. This line item would be claimed on a Weekday, between the hours of 6:00am-8:00pm.","These support items provide assistance with, or supervision of, tasks of daily life in a shared living environment, with a focus on developing the skills of each individual to live as autonomously as possible. The support is provided to each person living in the shared arrangement in accordance with their need. Support Independent Living does not include rent, board and lodging or other dayto-day usual living expenses such as food and activities. It also does not include the capital costs associated with a participant’s accommodation."
01_802_0115_1_1,"Support the participant with everyday domestic needs/tasks in a Supported Independent Living arrangement with the intention of assisting the participant to build these skills themselves. This line item funds the personal supports provided in Supported Independent Living arrangements but does not cover the cost of accommodation, food, and other everyday costs themselves. This line item would be claimed on a Weekday, between the hours of 8:00pm-12:00am.","These support items provide assistance with, or supervision of, tasks of daily life in a shared living environment, with a focus on developing the skills of each individual to live as autonomously as possible. The support is provided to each person living in the shared arrangement in accordance with their need. Support Independent Living does not include rent, board and lodging or other dayto-day usual living expenses such as food and activities. It also does not include the capital costs associated with a participant’s accommodation."
01_803_0115_1_1,"Support the participant with everyday domestic needs/tasks in a Supported Independent Living arrangement with the intention of assisting the participant to build these skills themselves. This line item funds the personal supports provided in Supported Independent Living arrangements but does not cover the cost of accommodation, food, and other everyday costs themselves. This line item would be claimed on a Weekday, between the hours of 12:00am-6:00am.","These support items provide assistance with, or supervision of, tasks of daily life in a shared living environment, with a focus on developing the skills of each individual to live as autonomously as possible. The support is provided to each person living in the shared arrangement in accordance with their need. Support Independent Living does not include rent, board and lodging or other dayto-day usual living expenses such as food and activities. It also does not include the capital costs associated with a participant’s accommodation."
01_804_0115_1_1,"Support the participant with everyday domestic needs/tasks in a Supported Independent Living arrangement with the intention of assisting the participant to build these skills themselves. This line item funds the personal supports provided in Supported Independent Living arrangements but does not cover the cost of accommodation, food, and other everyday costs themselves. This line item would be claimed on Saturdays.","These support items provide assistance with, or supervision of, tasks of daily life in a shared living environment, with a focus on developing the skills of each individual to live as autonomously as possible. The support is provided to each person living in the shared arrangement in accordance with their need. Support Independent Living does not include rent, board and lodging or other dayto-day usual living expenses such as food and activities. It also does not include the capital costs associated with a participant’s accommodation."
01_805_0115_1_1,"Support the participant with everyday domestic needs/tasks in a Supported Independent Living arrangement with the intention of assisting the participant to build these skills themselves. This line item funds the personal supports provided in Supported Independent Living arrangements but does not cover the cost of accommodation, food, and other everyday costs themselves. This line item would be claimed on Sundays.","These support items provide assistance with, or supervision of, tasks of daily life in a shared living environment, with a focus on developing the skills of each individual to live as autonomously as possible. The support is provided to each person living in the shared arrangement in accordance with their need. Support Independent Living does not include rent, board and lodging or other dayto-day usual living expenses such as food and activities. It also does not include the capital costs associated with a participant’s accommodation."
01_806_0115_1_1,"Support the participant with everyday domestic needs/tasks in a Supported Independent Living arrangement with the intention of assisting the participant to build these skills themselves. This line item funds the personal supports provided in Supported Independent Living arrangements but does not cover the cost of accommodation, food, and other everyday costs themselves. This line item would be claimed on Public Holidays.","These support items provide assistance with, or supervision of, tasks of daily life in a shared living environment, with a focus on developing the skills of each individual to live as autonomously as possible. The support is provided to each person living in the shared arrangement in accordance with their need. Support Independent Living does not include rent, board and lodging or other dayto-day usual living expenses such as food and activities. It also does not include the capital costs associated with a participant’s accommodation."
01_811_0115_1_1,"Support the participant with everyday domestic needs/tasks in a Supported Independent Living arrangement with the intention of assisting the participant to build these skills themselves. This line item funds the personal supports provided in Supported Independent Living arrangements but does not cover the cost of accommodation, food, and other everyday costs themselves. This line item would be claimed when the participant requires High Intensity Supports and requires a more skilled or experienced support workers assistance. This line item would be claimed on a Weekday between the hours of 6:00am-8:00pm.","These support items provide assistance with, or supervision of, tasks of daily life in a shared living environment, with a focus on developing the skills of each individual to live as autonomously as possible. The support is provided to each person living in the shared arrangement in accordance with their need. Support Independent Living does not include rent, board and lodging or other dayto-day usual living expenses such as food and activities. It also does not include the capital costs associated with a participant’s accommodation."
01_812_0115_1_1,"Support the participant with everyday domestic needs/tasks in a Supported Independent Living arrangement with the intention of assisting the participant to build these skills themselves. This line item funds the personal supports provided in Supported Independent Living arrangements but does not cover the cost of accommodation, food, and other everyday costs themselves. This line item would be claimed when the participant requires High Intensity Supports and requires a more skilled or experienced support workers assistance. This line item would be claimed on a Weekday between the hours of 8:00pm-12:00am.","These support items provide assistance with, or supervision of, tasks of daily life in a shared living environment, with a focus on developing the skills of each individual to live as autonomously as possible. The support is provided to each person living in the shared arrangement in accordance with their need. Support Independent Living does not include rent, board and lodging or other dayto-day usual living expenses such as food and activities. It also does not include the capital costs associated with a participant’s accommodation."
01_813_0115_1_1,"Support the participant with everyday domestic needs/tasks in a Supported Independent Living arrangement with the intention of assisting the participant to build these skills themselves. This line item funds the personal supports provided in Supported Independent Living arrangements but does not cover the cost of accommodation, food, and other everyday costs themselves. This line item would be claimed when the participant requires High Intensity Supports and requires a more skilled or experienced support workers assistance. This line item would be claimed on a Weekday between the hours of 12:00am-6:00am.","These support items provide assistance with, or supervision of, tasks of daily life in a shared living environment, with a focus on developing the skills of each individual to live as autonomously as possible. The support is provided to each person living in the shared arrangement in accordance with their need. Support Independent Living does not include rent, board and lodging or other dayto-day usual living expenses such as food and activities. It also does not include the capital costs associated with a participant’s accommodation."
01_814_0115_1_1,"Support the participant with everyday domestic needs/tasks in a Supported Independent Living arrangement with the intention of assisting the participant to build these skills themselves. This line item funds the personal supports provided in Supported Independent Living arrangements but does not cover the cost of accommodation, food, and other everyday costs themselves. This line item would be claimed when the participant requires High Intensity Supports and requires a more skilled or experienced support workers assistance. This line item would be claimed on Saturdays.","These support items provide assistance with, or supervision of, tasks of daily life in a shared living environment, with a focus on developing the skills of each individual to live as autonomously as possible. The support is provided to each person living in the shared arrangement in accordance with their need. Support Independent Living does not include rent, board and lodging or other dayto-day usual living expenses such as food and activities. It also does not include the capital costs associated with a participant’s accommodation."
01_815_0115_1_1,"Support the participant with everyday domestic needs/tasks in a Supported Independent Living arrangement with the intention of assisting the participant to build these skills themselves. This line item funds the personal supports provided in Supported Independent Living arrangements but does not cover the cost of accommodation, food, and other everyday costs themselves. This line item would be claimed when the participant requires High Intensity Supports and requires a more skilled or experienced support workers assistance. This line item would be claimed on Sundays.","These support items provide assistance with, or supervision of, tasks of daily life in a shared living environment, with a focus on developing the skills of each individual to live as autonomously as possible. The support is provided to each person living in the shared arrangement in accordance with their need. Support Independent Living does not include rent, board and lodging or other dayto-day usual living expenses such as food and activities. It also does not include the capital costs associated with a participant’s accommodation."
01_816_0115_1_1,"Support the participant with everyday domestic needs/tasks in a Supported Independent Living arrangement with the intention of assisting the participant to build these skills themselves. This line item funds the personal supports provided in Supported Independent Living arrangements but does not cover the cost of accommodation, food, and other everyday costs themselves. This line item would be claimed when the participant requires High Intensity Supports and requires a more skilled or experienced support workers assistance. This line item would be claimed on Public Holidays.","These support items provide assistance with, or supervision of, tasks of daily life in a shared living environment, with a focus on developing the skills of each individual to live as autonomously as possible. The support is provided to each person living in the shared arrangement in accordance with their need. Support Independent Living does not include rent, board and lodging or other dayto-day usual living expenses such as food and activities. It also does not include the capital costs associated with a participant’s accommodation."
01_825_0115_1_1,New description coming soon,New description coming soon
01_832_0115_1_1,"Support the participant with everyday domestic needs/tasks in a Supported Independent Living arrangement with the intention of assisting the participant to build these skills themselves. This line item funds the personal supports provided in Supported Independent Living arrangements but does not cover the cost of accommodation, food, and other everyday costs themselves. This line item would be claimed when the participant requires High Intensity Supports and requires a more skilled or experienced support workers assistance. This support would be provided overnight however the provider can sleep when support is not required. This line item can be claimed any day and on public holidays.","These support items provide assistance with, or supervision of, tasks of daily life in a shared living environment, with a focus on developing the skills of each individual to live as autonomously as possible. The support is provided to each person living in the shared arrangement in accordance with their need. Support Independent Living does not include rent, board and lodging or other dayto-day usual living expenses such as food and activities. It also does not include the capital costs associated with a participant’s accommodation."
02_050_0108_1_1,"Specialised transport services for a participant to a school, educational facility, employment, or the community. This support item is subject to quotation. It should only be used if it is a stated item in a plan.","This support item provides for specialised transport services for a participant to a school, educational facility, employment, or the community."
02_051_0108_1_1,"This line item can be used to fund transportation services that are not linked to other supports. Payment can be made direct to the provider, or transport can be paid via reimbursements to the participant to fund their transportation expenses.",This support item allows a participant pays a provider to transport them to an activity that is not itself a support - or to a support that is delivered by another provider. This enables the participant to travel to and from appointments or their place of work.
03_040000111_0103_1_1,"Disability-Related Health consumables that are over $1,500 and are not an assistive technology item, but health related.",High cost health-related consumables that the NDIS funds that is due to a person's disability
03_040000919_0103_1_1,"Disability-Related Health consumables that are under $1,500.",Low cost health-related consumables that the NDIS funds that is due to a person's disability.
03_090000911_0103_1_1,"Personal Care and Safety related assistive technology that is under $1,500. A letter generated by an Allied Health Professional may be required to utilise this line item code.","Low risk, low cost assistive technology"
03_222100911_0124_1_1,"Communication or Cognitive Support assistive technology that is under $1,500. A letter generated by an Allied Health Professional may be required to utilise this line item code.",The assistive technology identified below are to assist participants with alternate communication or to access written or spoken communication through electronic or other means.
03_710400002_0103_1_1,"This line item can fund the training of parents, participants, or carers to use disability-related health equipment and consumables.",Reimbursement of cost of set up and/or training of disability-related health support equipment and consumables for a participant’s disability specific needs
03_900100155_0130_1_1,"Funding to cover the ongoing expenses associated with an assistance dog that complies with NDIS animal requirements. This line item code can cover services and supports such as pet insurance, dog food, grooming, vet costs.","Extra ongoing costs (above those of a companion animal) for medication, annual vet checks, food, etc. for a dog that meets the NDIA policy"
04_102_0125_6_1,"Delivery of supports to assist a participant engage in community, social and/or recreational activities. This line item would be claimed on Public Holidays.","Supporting a participant to engage in community, social and/or recreational activities."
04_102_0125_6_1_T,"Delivery of supports to assist a participant engage in community, social and/or recreational activities. This line item would be claimed on Public Holidays, and by a TTP registered provider.","Supporting a participant to engage in community, social and/or recreational activities."
04_102_0136_6_1,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a group or community based arrangement. This line item would be claimed between the hours 6:00am-8:00pm Monday to Friday.","These support items enable a participant who requires Standard Supports, to engage in community, social and recreational activities in a group setting, either in the community or in a centre, in circumstances where a more skilled or experienced support worker is required. This service is delivered Monday to Friday between 6am and 8pm by an approved TTP provider."
04_102_0136_6_1_T,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a group or community based arrangement. This line item would be claimed between the hours 6:00am-8:00pm Monday to Friday by an approved TTP provider.","These support items enable a participant who requires Standard Supports, to engage in community, social and recreational activities in a group setting, either in the community or in a centre, in circumstances where a more skilled or experienced support worker is required. This service is delivered Monday to Friday between 6am and 8pm by an approved TTP provider."
04_103_0125_6_1,"Delivery of supports to assist a participant engage in community, social and/or recreational activities. This line item would be claimed between the hours 8:00pm-12:00am.","Supporting a participant to engage in community, social and/or recreational activities."
04_103_0125_6_1_T,"Delivery of supports to assist a participant engage in community, social and/or recreational activities. This line item would be claimed between the hours 8:00pm-12:00am, and by a TTP registered provider.","Supporting a participant to engage in community, social and/or recreational activities."
04_103_0136_6_1,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a group or community based arrangement. This line item would be claimed between the hours 8.00pm - 12.00am Monday to Friday.","These support items enable a participant who requires Standard Supports, to engage in community, social and recreational activities in a group setting, either in the community or in a centre, in circumstances where a more skilled or experienced support worker is required. This service is delivered Monday to Friday between 8pm and 12am."
04_103_0136_6_1_T,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a group or community based arrangement. This line item would be claimed between the hours 8:00pm - 12:00am Monday to Friday by an approved TTP provider .","These support items enable a participant who requires Standard Supports, to engage in community, social and recreational activities in a group setting, either in the community or in a centre, in circumstances where a more skilled or experienced support worker is required. This service is delivered Monday to Friday between the hours of 8pm and 12am by an approved TTP provider."
04_104_0125_6_1,"Delivery of supports to assist a participant engage in community, social and/or recreational activities. This line item would be claimed on a weekday between the hours 6:00am-8:00pm.","Supporting a participant to engage in community, social and/or recreational activities."
04_104_0125_6_1_T,"Delivery of supports to assist a participant engage in community, social and/or recreational activities. This line item would be claimed on a weekday between the hours 6:00am-8:00pm, and by a TTP registered provider.","Supporting a participant to engage in community, social and/or recreational activities."
04_104_0136_6_1,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a group or community based arrangement. This line item would be claimed on a Saturday.","These support items enable a participant who requires Standard Supports, to engage in community, social and recreational activities in a group setting, either in the community or in a centre, in circumstances where a more skilled or experienced support worker is required. This service is delivered on a Saturday."
04_104_0136_6_1_T,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a group or community based arrangement. This line item would be claimed on a Saturday by an approved TTP povider.","These support items enable a participant who requires Standard Supports, to engage in community, social and recreational activities in a group setting, either in the community or in a centre, in circumstances where a more skilled or experienced support worker is required. This service is delivered on a Saturday by an approved TTP provider."
04_105_0125_6_1,"Delivery of supports to assist a participant engage in community, social and/or recreational activities. This line item would be claimed on Saturdays.","Supporting a participant to engage in community, social and/or recreational activities."
04_105_0125_6_1_T,"Delivery of supports to assist a participant engage in community, social and/or recreational activities. This line item would be claimed on Saturdays, and by a TTP registered provider.","Supporting a participant to engage in community, social and/or recreational activities."
04_105_0136_6_1,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a group or community based arrangement. This line item would be claimed on a Sunday.","These support items enable a participant who requires Standard Supports, to engage in community, social and recreational activities in a group setting, either in the community or in a centre, in circumstances where a more skilled or experienced support worker is required. This service is delivered on a Sunday."
04_105_0136_6_1_T,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a group or community based arrangement. This line item would be claimed on a sunday by an approved TTP provider.","These support items enable a participant who requires Standard Supports, to engage in community, social and recreational activities in a group setting, either in the community or in a centre, in circumstances where a more skilled or experienced support worker is required. This service is delivered on a Sunday by an approved TTP provider."
04_106_0125_6_1,"Delivery of supports to assist a participant engage in community, social and/or recreational activities. This line item would be claimed on Sundays.","Supporting a participant to engage in community, social and/or recreational activities."
04_106_0125_6_1_T,"Delivery of supports to assist a participant engage in community, social and/or recreational activities. This line item would be claimed on Sundays, and by a TTP registered provider.","Supporting a participant to engage in community, social and/or recreational activities."
04_106_0136_6_1,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a group or community based arrangement. This line item would be claimed on a Public Holiday.","These support items enable a participant who requires Standard Supports, to engage in community, social and recreational activities in a group setting, either in the community or in a centre, in circumstances where a more skilled or experienced support worker is required. This service is delivered on a Public Holiday."
04_106_0136_6_1_T,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a group or community based arrangement. This line item would be claimed on a Public Holiday by an approved TTP provider.","These support items enable a participant who requires Standard Supports, to engage in community, social and recreational activities in a group setting, either in the community or in a centre, in circumstances where a more skilled or experienced support worker is required. This service is delivered on a Public Holiday by an approved TTP provider."
04_111_0136_6_1,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a group or community based arrangement. This line item would be claimed on a weekday between the hours 6:00am-8:00pm, with a ratio of one support worker per two participants.","These support items assist participants to access community, social and recreational activities provided in a group setting in the community."
04_111_0136_6_1_T,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a group or community based arrangement. This line item would be claimed on a weekday between the hours 6:00am-8:00pm, with a ratio of one support worker per two participants. This line item can only be claimed by a TTP registered provider.","These support items assist participants to access community, social and recreational activities provided in a group setting in the community."
04_112_0136_6_1,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a group or community based arrangement. This line item would be claimed on Saturdays, with a ratio of one support worker per two participants.","These support items assist participants to access community, social and recreational activities provided in a group setting in the community."
04_112_0136_6_1_T,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a group or community based arrangement. This line item would be claimed on Saturdays, with a ratio of one support worker per two participants. This line item can only be claimed by a TTP registered provider.","These support items assist participants to access community, social and recreational activities provided in a group setting in the community."
04_113_0136_6_1,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a group or community based arrangement. This line item would be claimed on Sundays, with a ratio of one support worker per two participants.","These support items assist participants to access community, social and recreational activities provided in a group setting in the community."
04_113_0136_6_1_T,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a group or community based arrangement. This line item would be claimed on Sundays, with a ratio of one support worker per two participants. This item can only be claimed by a TTP registered provider.","These support items assist participants to access community, social and recreational activities provided in a group setting in the community."
04_114_0136_6_1,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a group or community based arrangement. This line item would be claimed between the hours of 8:00pm-12:00am, with a ratio of one support worker per two participants.","These support items assist participants to access community, social and recreational activities provided in a group setting in the community."
04_114_0136_6_1_T,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a group or community based arrangement. This line item would be claimed between the hours of 8:00pm-12:00am, with a ratio of one support worker per two participants. This line item can only be claimed by a TTP registered provider.","These support items assist participants to access community, social and recreational activities provided in a group setting in the community."
04_116_0104_6_1,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a group or community based arrangement, where a more specialised support worker is required due to the complexity of the needs and requirements of the participant. This line item would be claimed on a weekday between the hours 6:00am-8:00pm, with a ratio of one support worker per two participants.","These support items assist participants to access community, social and recreational activities provided in a group setting in the community."
04_116_0104_6_1_T,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a group or community based arrangement, where a more specialised support worker is required due to the complexity of the needs and requirements of the participant. This line item would be claimed on a weekday between the hours 6:00am-8:00pm, with a ratio of one support worker per two participants. This line item can only be claimed by a TTP registered provider.","These support items assist participants to access community, social and recreational activities provided in a group setting in the community."
04_117_0104_6_1,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a group or community based arrangement, where a more specialised support worker is required due to the complexity of the needs and requirements of the participant. This line item would be claimed on Saturdays, with a ratio of one support worker per two participants.","These support items assist participants to access community, social and recreational activities provided in a group setting in the community."
04_117_0104_6_1_T,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a group or community based arrangement, where a more specialised support worker is required due to the complexity of the needs and requirements of the participant. This line item would be claimed on Saturdays, with a ratio of one support worker per two participants. This line item can only be claimed by a TTP registered provider.","These support items assist participants to access community, social and recreational activities provided in a group setting in the community."
04_118_0104_6_1,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a group or community based arrangement, where a more specialised support worker is required due to the complexity of the needs and requirements of the participant. This line item would be claimed on Sundays, with a ratio of one support worker per two participants.","These support items assist participants to access community, social and recreational activities provided in a group setting in the community."
04_118_0104_6_1_T,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a group or community based arrangement, where a more specialised support worker is required due to the complexity of the needs and requirements of the participant. This line item would be claimed on Sundays, with a ratio of one support worker per two participants. This line item can only be claimed by a TTP registered provider.","These support items assist participants to access community, social and recreational activities provided in a group setting in the community."
04_119_0104_6_1,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a group or community based arrangement, where a more specialised support worker is required due to the complexity of the needs and requirements of the participant. This line item would be claimed on a weekday between the hours 8:00pm-12:00am, with a ratio of one support worker per two participants.","These support items assist participants to access community, social and recreational activities provided in a group setting in the community."
04_119_0104_6_1_T,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a group or community based arrangement, where a more specialised support worker is required due to the complexity of the needs and requirements of the participant. This line item would be claimed on a weekday between the hours 8:00pm-12:00am, with a ratio of one support worker per two participants. This line item can only be claimed by a TTP registered provider.","These support items assist participants to access community, social and recreational activities provided in a group setting in the community."
04_120_0136_6_1,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a group or community based arrangement. This line item would be claimed on a weekday between the hours 6:00am-8:00pm, with a ratio of one support worker per three participants.","These support items assist participants to access community, social and recreational activities provided in a group setting in the community."
04_120_0136_6_1_T,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a group or community based arrangement. This line item would be claimed on a weekday between the hours 6:00am-8:00pm, with a ratio of one support worker per three participants. This line item can only be claimed by a TTP registered provider.","These support items assist participants to access community, social and recreational activities provided in a group setting in the community."
04_121_0136_6_1,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a group or community based arrangement. This line item would be claimed on Saturdays, with a ratio of one support worker per three participants.","These support items assist participants to access community, social and recreational activities provided in a group setting in the community."
04_121_0136_6_1_T,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a group or community based arrangement. This line item would be claimed on Saturdays, with a ratio of one support worker per three participants. This line item can only be claimed by a TTP registered provider.","These support items assist participants to access community, social and recreational activities provided in a group setting in the community."
04_122_0136_6_1,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a group or community based arrangement. This line item would be claimed on Sundays, with a ratio of one support worker per three participants.","These support items assist participants to access community, social and recreational activities provided in a group setting in the community."
04_122_0136_6_1_T,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a group or community based arrangement. This line item would be claimed on Sundays, with a ratio of one support worker per three participants. This item can only be claimed by a TTP registered provider.","These support items assist participants to access community, social and recreational activities provided in a group setting in the community."
04_123_0136_6_1,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a group or community based arrangement. This line item would be claimed between the hours of 8:00pm-12:00am, with a ratio of one support worker per three participants.","These support items assist participants to access community, social and recreational activities provided in a group setting in the community."
04_123_0136_6_1_T,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a group or community based arrangement. This line item would be claimed between the hours of 8:00pm-12:00am, with a ratio of one support worker per three participants. This line item can only be claimed by a TTP registered provider.","These support items assist participants to access community, social and recreational activities provided in a group setting in the community."
04_124_0104_6_1,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a group or community based arrangement, where a more specialised support worker is required due to the complexity of the needs and requirements of the participant. This line item would be claimed on a weekday between the hours 6:00am-8:00pm, with a ratio of one support worker per three participants.","These support items assist participants to access community, social and recreational activities provided in a group setting in the community."
04_124_0104_6_1_T,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a group or community based arrangement, where a more specialised support worker is required due to the complexity of the needs and requirements of the participant. This line item would be claimed on a weekday between the hours 6:00am-8:00pm, with a ratio of one support worker per three participants. This line item can only be claimed by a TTP registered provider.","These support items assist participants to access community, social and recreational activities provided in a group setting in the community."
04_125_0104_6_1,"Delivery of supports to assist a participant engage in community, social and/or recreational activities in a group or community based arrangement, where a more specialised support worker is required due to the complexity of the needs and requirements of the participant. This line item would be claimed on Saturdays, with a ratio of one support worker per three participants.","These support items assist participants to access community, social and recreational activities provided in a group setting in the community."
